Occupation	"Total, 16
years and
 over"	"16 to 19 
years"	"20 to 24 
years"	"25 to 34 
years"	"35 to 44 
years"	"45 to 54 
years"	"55 to 64 
years"	"65 years
and over"	"Median
 age"
Surveyors, cartographers, and photogrammetrists	41	0	1	7	11	11	9	2	–
Aerospace engineers	129	0	9	39	26	19	30	6	41.9
Agricultural engineers	8	0	0	2	4	1	1	0	–
Bioengineers and biomedical engineers	15	0	3	5	4	1	2	0	–
Chemical engineers	75	0	7	17	15	17	15	4	45.1
Civil engineers	431	0	35	138	97	79	58	24	39.7
Computer hardware engineers	88	0	1	36	27	11	8	5	38.2
Electrical and electronics engineers	299	0	9	80	65	68	63	13	43.7
Environmental engineers	33	0	2	7	5	10	7	2	–
Industrial engineers, including health and safety	216	0	11	66	55	45	32	7	41.5
Marine engineers and naval architects	12	0	1	4	2	5	1	0	–
Materials engineers	43	1	4	13	8	8	6	2	–
Mechanical engineers	354	0	31	110	87	59	55	12	40.0
Mining and geological engineers, including mining safety engineers	8	0	0	2	4	2	0	0	–
Nuclear engineers	11	0	0	0	8	0	3	1	–
Petroleum engineers	16	0	0	4	6	1	4	1	–
Engineers, all other	666	0	35	200	145	140	110	37	41.8
Architectural and civil drafters	32	0	1	11	7	5	3	4	–
Other drafters	93	0	5	23	31	18	12	4	41.5
Electrical and electronic engineering technologists and technicians	74	2	5	8	16	13	20	9	49.0
Other engineering technologists and technicians, except drafters	293	3	26	66	59	68	62	11	43.3
Surveying and mapping technicians	57	0	5	17	14	9	8	5	39.9
Life, physical, and social science occupations	1,640	9	119	501	353	304	248	106	41.0
Agricultural and food scientists	32	0	3	15	4	4	5	1	–
Biological scientists	94	0	4	28	21	16	18	6	42.6
Conservation scientists and foresters	22	0	1	8	6	4	2	1	–
Medical scientists	121	0	4	31	31	27	20	8	43.4
Life scientists, all other	8	0	0	6	2	0	0	0	–
Astronomers and physicists	22	0	0	7	5	3	3	4	–
Atmospheric and space scientists	11	0	1	1	3	5	1	0	–
Chemists and materials scientists	94	0	5	28	19	15	20	8	43.0
Environmental scientists and specialists, including health	40	0	1	10	8	13	6	2	–
Geoscientists and hydrologists, except geographers	42	0	0	14	15	5	8	0	–
Physical scientists, all other	370	0	21	119	108	67	39	16	39.9
Economists	21	0	1	5	6	2	4	3	–
Survey researchers	1	0	0	0	1	0	0	0	–
Clinical and counseling psychologists	13	0	0	2	3	3	3	2	–
School psychologists	58	0	1	22	16	12	4	3	38.3
Other psychologists	149	0	3	30	29	34	27	27	48.6
Sociologists	2	0	0	0	1	1	0	0	–
Urban and regional planners	28	0	2	5	6	2	11	2	–
Miscellaneous social scientists and related workers	54	0	3	19	7	16	6	2	39.6
Agricultural and food science technicians	30	0	2	12	5	5	2	3	–
Biological technicians	18	1	2	7	1	2	5	1	–
Chemical technicians	48	0	7	16	5	12	5	2	–
Environmental science and geoscience technicians	15	0	0	8	2	2	2	0	–
Nuclear technicians	2	0	0	1	1	0	0	0	–
Social science research assistants	6	0	2	2	1	1	1	0	–
Other life, physical, and social science technicians	269	6	47	91	34	42	38	11	34.6
Occupational health and safety specialists and technicians	72	2	7	17	14	11	19	3	44.0
Community and social service occupations	2,777	14	140	662	648	580	490	244	44.2
Substance abuse and behavioral disorder counselors	121	0	8	54	25	13	12	9	35.1
Educational, guidance, and career counselors and advisors	362	2	22	87	95	83	54	19	42.5
Marriage and family therapists	44	0	1	9	12	9	9	3	–
Mental health counselors	212	0	7	57	56	43	33	16	42.7
Rehabilitation counselors	11	0	0	2	3	2	3	1	–
Counselors, all other	250	6	22	61	49	46	42	25	43.4
Child, family, and school social workers	54	1	2	12	15	14	8	2	43.9
Healthcare social workers	77	0	2	17	22	16	11	9	44.7
Mental health and substance abuse social workers	15	0	0	5	4	2	0	4	–
Social workers, all other	681	0	35	178	175	152	113	29	42.8
Probation officers and correctional treatment specialists	88	0	1	17	19	30	18	3	45.9
Social and human service assistants	194	3	10	46	43	43	35	14	43.9
Other community and social service specialists	100	1	13	26	22	16	16	6	39.7
Clergy	404	0	7	55	87	80	96	79	50.6
Directors, religious activities and education	67	0	2	13	13	15	19	4	46.7
Religious workers, all other	96	0	10	22	7	17	21	20	52.0
Legal occupations	1,805	5	46	368	444	382	354	207	46.4
Lawyers	1,085	1	1	204	308	230	204	137	46.5
Judicial law clerks	24	0	0	14	3	2	3	2	–
Judges, magistrates, and other judicial workers	77	0	4	5	16	23	14	15	53.1
Paralegals and legal assistants	431	3	31	98	87	87	95	30	45.0
Title examiners, abstractors, and searchers	107	1	3	25	19	24	27	9	48.3
Legal support workers, all other	80	1	6	22	11	15	12	13	45.0
Education, training, and library occupations	8,946	120	610	1,989	2,121	2,064	1,446	596	43.2
Postsecondary teachers	1,154	1	24	167	260	261	274	166	49.4
Preschool and kindergarten teachers	613	16	87	164	139	114	71	22	38.5
Elementary and middle school teachers	3,260	8	132	757	881	880	458	144	43.2
Secondary school teachers	940	2	32	229	241	263	139	33	43.0
Special education teachers	362	0	8	82	100	89	68	15	44.0
Tutors	168	19	53	35	13	14	17	17	28.7
Other teachers and instructors	737	24	68	139	178	129	118	81	43.1
Archivists, curators, and museum technicians	62	2	5	18	9	6	13	9	45.0
Librarians and media collections specialists	158	0	3	29	32	34	40	20	49.9
Library technicians	38	2	1	5	6	2	15	6	–
Teaching assistants	1,309	43	190	337	219	240	209	71	39.1
Other educational instruction and library workers	145	1	6	26	42	31	25	14	45.6
Arts, design, entertainment, sports, and media occupations	3,151	82	236	858	678	520	495	281	41.4
Artists and related workers	286	3	17	84	54	49	48	31	43.3
Commercial and industrial designers	11	0	1	2	4	2	2	0	–
Fashion designers	33	0	4	14	9	3	3	0	–
Floral designers	50	2	5	6	9	6	19	3	49.7
Graphic designers	271	3	22	78	71	42	43	11	39.9
Interior designers	123	0	4	35	24	17	28	15	44.8
Merchandise displayers and window trimmers	27	2	5	7	3	5	4	2	–
Other designers	389	0	21	120	87	68	59	33	41.1
Actors	45	2	4	13	8	6	4	8	–
Producers and directors	182	1	13	49	44	45	15	16	41.3
Athletes and sports competitors	37	1	4	13	6	6	2	6	–
Coaches and scouts	235	37	27	57	53	24	24	13	34.6
Umpires, referees, and other sports officials	17	8	3	0	0	2	0	4	–
Dancers and choreographers	11	1	5	2	3	0	0	0	–
Music directors and composers	52	0	2	14	12	8	9	7	42.7
Musicians and singers	127	3	11	28	19	20	18	28	44.2
Disc jockeys, except radio	15	0	1	0	6	4	2	0	–
Entertainers and performers, sports and related workers, all other	43	1	4	14	5	11	3	5	–
Broadcast announcers and radio disc jockeys	18	0	1	1	5	4	5	2	–
News analysts, reporters, and journalists	79	0	11	28	15	8	9	8	34.9
Public relations specialists	122	0	5	35	30	26	20	5	41.9
Editors	105	2	5	30	14	17	23	13	45.4
Technical writers	71	0	5	13	13	15	20	5	49.5
Writers and authors	261	0	8	72	57	41	49	33	44.8
Interpreters and translators	93	4	5	14	25	19	16	11	45.2
Court reporters and simultaneous captioners	28	0	0	3	1	8	12	4	–
Media and communication workers, all other	30	1	3	8	8	4	7	0	–
Broadcast, sound, and lighting technicians	87	4	7	23	21	14	14	4	39.9
Photographers	192	3	17	60	49	33	21	11	39.6
Television, video, and film camera operators and editors	108	2	16	34	22	14	15	4	36.2
Media and communication equipment workers, all other	1	0	0	0	1	0	0	0	–
Healthcare practitioners and technical occupations	9,639	52	522	2,515	2,365	2,010	1,573	602	42.7
Chiropractors	59	0	0	14	9	16	13	8	49.4
Dentists	167	0	0	34	48	29	35	21	46.6
Dietitians and nutritionists	117	0	4	30	30	19	28	6	43.9
Optometrists	37	0	0	7	12	7	11	1	–
Pharmacists	352	0	10	106	111	64	42	19	41.4
Emergency medicine physicians	24	0	0	2	14	4	2	2	–
Radiologists	26	0	0	5	5	7	4	4	–
Other physicians	921	0	1	206	230	214	167	104	46.2
Surgeons	59	0	0	8	18	15	12	6	46.7
Physician assistants	165	0	2	63	57	26	8	8	39.4
Podiatrists	8	0	0	1	1	1	3	1	–
Audiologists	17	0	0	7	4	2	1	2	–
Occupational therapists	135	0	1	54	29	18	27	6	41.8
Physical therapists	273	1	7	86	74	54	41	10	41.2
Radiation therapists	15	0	0	3	5	5	1	1	–
Recreational therapists	18	0	3	5	2	4	4	1	–
Respiratory therapists	117	0	6	23	26	23	34	5	47.7
Speech-language pathologists	187	0	9	65	46	37	22	8	41.1
Exercise physiologists	6	0	1	3	0	1	0	1	–
Therapists, all other	242	0	12	85	59	37	32	17	39.6
Veterinarians	104	0	0	25	26	25	14	14	45.2
Registered nurses	3,201	5	162	824	773	712	540	184	43.1
Nurse anesthetists	35	0	0	6	11	12	4	2	–
Nurse midwives	8	0	0	2	1	2	3	0	–
Nurse practitioners	237	0	0	46	88	66	30	7	43.5
Acupuncturists	24	0	0	1	5	3	8	8	–
Healthcare diagnosing or treating practitioners, all other	13	0	0	2	2	5	3	1	–
Clinical laboratory technologists and technicians	369	4	38	104	77	67	58	21	40.5
Dental hygienists	207	0	7	48	49	58	34	11	44.8
Cardiovascular technologists and technicians	61	2	5	13	10	14	14	3	47.2
Diagnostic medical sonographers	88	0	4	20	24	24	13	2	42.0
Radiologic technologists and technicians	226	0	8	57	60	47	44	10	43.4
Magnetic resonance imaging technologists	47	0	1	7	12	12	10	3	–
Nuclear medicine technologists and medical dosimetrists	39	0	1	7	10	13	7	1	–
Emergency medical technicians	145	5	36	51	22	15	14	2	30.8
Paramedics	96	0	5	32	28	22	6	4	38.5
Pharmacy technicians	342	11	51	107	79	47	36	11	36.1
Psychiatric technicians	73	1	21	21	14	10	3	3	30.7
Surgical technologists	113	1	8	33	32	24	13	3	39.8
Veterinary technologists and technicians	129	2	32	46	29	8	9	3	31.8
Dietetic technicians and ophthalmic medical technicians	66	9	11	11	14	8	8	5	35.0
Licensed practical and licensed vocational nurses	533	6	45	121	113	114	106	29	43.8
Medical records specialists	207	3	9	41	47	52	40	16	46.3
Opticians, dispensing	50	0	4	11	10	10	12	4	45.2
Miscellaneous health technologists and technicians	177	2	9	44	31	37	38	15	45.4
Other healthcare practitioners and technical occupations	105	0	7	31	17	21	19	9	42.6
									
Service occupations	24,403	2,159	3,374	5,314	4,456	4,142	3,538	1,420	38.3
Healthcare support occupations	4,887	125	666	1,133	912	909	818	324	40.8
Home health aides	570	10	47	86	110	128	140	50	47.2
Personal care aides	1,411	35	149	272	249	272	276	158	45.0
Nursing assistants	1,248	51	197	285	210	246	200	59	39.2
Orderlies and psychiatric aides	55	1	14	16	7	6	6	5	34.5
Occupational therapy assistants and aides	41	0	7	17	5	6	5	0	–
Physical therapist assistants and aides	74	1	11	20	18	14	10	1	39.7
Massage therapists	166	0	11	47	33	30	32	12	43.5
Dental assistants	323	7	55	106	61	49	35	10	34.4
Medical assistants	561	5	85	182	135	91	52	11	36.4
Medical transcriptionists	45	0	15	10	6	7	4	3	–
Pharmacy aides	35	1	8	11	7	5	4	1	–
Veterinary assistants and laboratory animal caretakers	78	9	28	23	8	8	2	2	26.7
Phlebotomists	114	0	22	29	25	20	13	4	37.5
Other healthcare support workers	164	3	18	29	38	28	40	8	43.7
Protective service occupations	2,987	101	241	786	663	620	407	171	41.0
First-line supervisors of correctional officers	38	0	0	7	13	13	5	0	–
First-line supervisors of police and detectives	92	0	0	12	30	37	11	2	45.1
First-line supervisors of firefighting and prevention workers	44	0	0	1	13	19	11	1	–
First-line supervisors of security workers	75	0	1	10	18	25	15	5	46.0
First-line supervisors of protective service workers, all other	5	0	0	2	0	1	0	1	–
Firefighters	294	2	21	88	94	57	27	5	39.7
Fire inspectors	30	0	2	3	8	9	6	2	–
Bailiffs	21	0	1	0	3	5	8	4	–
Correctional officers and jailers	297	2	35	96	64	64	32	3	38.2
Detectives and criminal investigators	130	0	1	35	43	27	18	6	43.1
Fish and game wardens	6	0	1	3	2	1	0	0	–
Parking enforcement workers	15	0	1	5	3	1	4	1	–
Police officers	753	2	37	237	189	189	76	23	40.5
Animal control workers	6	0	0	1	3	2	0	0	–
Private detectives and investigators	95	0	4	26	21	19	17	7	43.6
Security guards and gambling surveillance officers	844	18	113	227	133	125	148	80	41.0
Crossing guards and flaggers	51	1	2	5	9	4	11	19	57.6
Transportation security screeners	46	0	3	15	10	14	3	1	–
School bus monitors	28	2	1	5	3	1	8	8	–
Other protective service workers	117	74	18	9	4	6	4	3	21.2
Food preparation and serving related occupations	7,370	1,505	1,477	1,560	1,050	817	724	236	29.2
Chefs and head cooks	402	5	25	108	110	77	63	13	41.5
First-line supervisors of food preparation and serving workers	480	41	97	138	80	65	49	10	31.8
Cooks	1,905	294	267	394	333	303	240	74	34.9
Food preparation workers	872	191	152	146	119	99	125	40	31.0
Bartenders	362	4	66	140	79	33	27	13	32.1
Fast food and counter workers	775	309	207	130	56	27	33	12	22.3
Waiters and waitresses	1,631	340	490	378	181	122	86	34	25.3
Food servers, nonrestaurant	172	28	29	36	29	25	19	7	32.3
Dining room and cafeteria attendants and bartender helpers	243	83	36	35	22	22	34	11	26.4
Dishwashers	243	56	42	34	33	29	35	14	30.8
Hosts and hostesses, restaurant, lounge, and coffee shop	282	151	66	22	8	15	13	7	21.4
Food preparation and serving related workers, all other	2	2	0	0	0	0	0	0	–
Building and grounds cleaning and maintenance occupations	5,482	214	443	989	1,132	1,134	1,125	445	44.6
First-line supervisors of housekeeping and janitorial workers	338	0	5	47	73	84	102	26	50.3
First-line supervisors of landscaping, lawn service, and groundskeeping workers	233	1	9	49	52	57	49	16	46.8
Janitors and building cleaners	2,113	81	170	352	389	424	479	218	46.4
Maids and housekeeping cleaners	1,357	38	78	228	311	317	298	87	45.5
Pest control workers	119	4	17	28	23	18	22	7	39.8
Landscaping and groundskeeping workers	1,211	86	147	255	262	213	163	84	39.6
Tree trimmers and pruners	98	3	14	28	20	17	9	7	37.4
Other grounds maintenance workers	13	1	2	4	2	3	1	0	–
Personal care and service occupations	3,676	214	546	847	699	662	465	244	38.6
Supervisors of personal care and service workers	250	1	16	57	69	55	29	24	42.0
Animal trainers	54	2	9	15	7	12	7	2	37.3
Animal caretakers	272	21	63	87	40	24	30	8	30.2
Gambling services workers	66	0	6	13	14	20	9	3	44.2
Ushers, lobby attendants, and ticket takers	29	7	7	6	1	2	0	5	–
Other entertainment attendants and related workers	192	48	59	24	14	18	8	20	23.8
Embalmers, crematory operators, and funeral attendants	14	0	1	3	6	2	2	1	–
Morticians, undertakers, and funeral arrangers	30	0	1	2	7	9	8	3	–
Barbers	103	1	7	30	28	20	12	5	40.8
Hairdressers, hairstylists, and cosmetologists	713	7	74	178	167	132	100	55	41.4
Manicurists and pedicurists	247	6	17	54	62	65	35	8	41.6
Skincare specialists	90	1	9	33	15	19	12	2	37.8
Other personal appearance workers	26	2	6	5	8	2	3	1	–
Baggage porters, bellhops, and concierges	84	3	14	19	16	11	17	5	41.3
Tour and travel guides	42	3	9	7	6	6	3	9	–
Childcare workers	974	80	173	191	151	180	138	62	37.7
Exercise trainers and group fitness instructors	223	4	19	76	54	42	17	12	37.7
Recreation workers	139	24	28	25	17	18	19	8	32.4
Residential advisors	26	0	9	5	6	4	1	0	–
Personal care and service workers, all other	101	3	19	17	13	21	17	12	43.0
									
Sales and office occupations	30,166	1,495	3,442	6,539	5,649	5,586	5,214	2,242	41.5
Sales and related occupations	14,369	1,010	1,739	2,912	2,643	2,536	2,347	1,181	40.9
First-line supervisors of retail sales workers	3,058	28	223	738	664	648	536	222	43.3
First-line supervisors of non-retail sales workers	1,184	10	50	213	278	288	236	109	46.3
Cashiers	2,601	665	632	420	257	239	249	141	25.3
Counter and rental clerks	81	6	9	19	14	11	17	5	40.0
Parts salespersons	124	6	16	22	23	20	21	15	44.0
Retail salespersons	2,750	250	538	572	376	354	417	242	35.8
Advertising sales agents	104	0	6	32	26	19	13	8	40.9
Insurance sales agents	600	2	36	120	137	121	121	62	45.7
Securities, commodities, and financial services sales agents	243	1	17	60	59	47	43	16	42.7
Travel agents	56	0	3	10	9	8	13	12	52.1
Sales representatives of services, except advertising, insurance, financial services, and travel	565	6	34	154	135	127	86	23	41.8
Sales representatives, wholesale and manufacturing	1,216	6	50	241	287	295	249	87	45.9
Models, demonstrators, and product promoters	30	1	3	7	3	1	11	6	–
Real estate brokers and sales agents	1,170	1	42	180	257	255	252	182	49.1
Sales engineers	41	0	2	5	14	10	4	7	–
Telemarketers	33	1	7	8	7	5	4	1	–
Door-to-door sales workers, news and street vendors, and related workers	104	1	10	15	25	26	17	10	45.1
Sales and related workers, all other	410	26	61	99	71	61	58	34	38.2
Office and administrative support occupations	15,797	485	1,703	3,627	3,006	3,050	2,866	1,060	42.1
First-line supervisors of office and administrative support workers	1,217	4	32	227	270	321	281	81	47.8
Switchboard operators, including answering service	8	0	0	3	1	2	3	0	–
Telephone operators	23	2	4	4	6	3	3	3	–
Communications equipment operators, all other	5	0	0	2	2	0	0	0	–
Bill and account collectors	97	1	12	25	17	15	18	9	42.2
Billing and posting clerks	483	2	34	107	108	100	106	26	44.3
Bookkeeping, accounting, and auditing clerks	1,097	11	56	170	183	252	277	149	50.0
Gambling cage workers	15	0	1	3	2	3	5	1	–
Payroll and timekeeping clerks	153	0	4	33	44	28	34	11	44.4
Procurement clerks	29	0	1	8	9	4	6	1	–
Tellers	215	6	43	67	40	24	30	6	33.6
Financial clerks, all other	92	2	9	26	21	18	13	4	39.8
Brokerage clerks	9	0	0	1	5	0	2	0	–
Correspondence clerks	7	0	1	2	1	1	2	0	–
Court, municipal, and license clerks	77	0	3	19	19	14	18	6	44.7
Credit authorizers, checkers, and clerks	41	1	2	13	6	8	8	2	–
Customer service representatives	2,512	217	418	672	429	359	311	107	34.6
Eligibility interviewers, government programs	60	0	0	11	21	13	12	3	44.2
File Clerks	161	8	12	35	31	24	37	13	43.8
Hotel, motel, and resort desk clerks	119	7	31	34	17	12	13	6	32.0
Interviewers, except eligibility and loan	203	7	35	56	37	35	21	13	38.0
Library assistants, clerical	88	6	13	15	8	13	22	10	48.2
Loan interviewers and clerks	144	0	6	51	22	34	26	5	41.2
New accounts clerks	12	0	0	3	4	1	2	1	–
Order clerks	112	4	13	32	22	13	20	7	39.6
Human resources assistants, except payroll and timekeeping	38	1	1	7	6	13	8	2	–
Receptionists and information clerks	1,215	58	232	307	199	177	169	73	36.3
Reservation and transportation ticket agents and travel clerks	93	3	10	22	15	19	18	5	41.7
Information and record clerks, all other	107	1	13	27	18	21	18	9	40.9
Cargo and freight agents	10	0	0	5	1	1	2	1	–
Couriers and messengers	837	41	152	231	163	123	95	32	35.3
Public safety telecommunicators	88	0	7	34	13	20	10	3	39.9
Dispatchers, except police, fire, and ambulance	189	2	16	47	43	35	36	9	42.7
Meter readers, utilities	33	0	3	4	10	6	9	1	–
Postal service clerks	105	0	5	22	15	33	19	10	46.7
Postal service mail carriers	273	2	12	52	78	60	61	8	44.4
Postal service mail sorters, processors, and processing machine operators	82	0	5	19	15	12	23	8	46.1
Production, planning, and expediting clerks	212	1	12	61	54	41	29	13	41.4
Shipping, receiving, and inventory clerks	615	16	96	140	124	124	84	32	39.8
Weighers, measurers, checkers, and samplers, recordkeeping	49	1	7	11	11	6	11	2	–
Executive secretaries and executive administrative assistants	223	0	13	45	37	72	42	15	48.5
Legal secretaries and administrative assistants	49	1	2	8	6	14	15	3	–
Medical secretaries and administrative assistants	58	2	3	9	8	16	14	6	50.3
Secretaries and administrative assistants, except legal, medical, and executive	2,009	22	125	352	359	477	481	193	48.5
Data entry keyers	220	6	37	59	40	35	32	12	37.4
Word processors and typists	37	0	2	4	9	8	7	8	–
Desktop publishers	1	0	0	1	0	0	0	0	–
Insurance claims and policy processing clerks	257	4	20	78	56	41	47	11	40.6
Mail clerks and mail machine operators, except postal service	53	3	8	13	6	8	11	4	40.1
Office clerks, general	1,249	40	141	252	224	240	243	109	42.8
Office machine operators, except computer	27	4	6	8	5	1	3	1	–
Proofreaders and copy markers	10	0	0	2	0	4	3	1	–
Statistical assistants	45	0	1	11	15	11	7	1	–
Office and administrative support workers, all other	639	2	44	179	151	135	100	27	41.1
									
Natural resources, construction, and maintenance occupations	13,959	367	1,239	3,246	3,362	2,778	2,253	714	41.6
Farming, fishing, and forestry occupations	1,061	60	122	222	215	186	165	92	41.4
First-line supervisors of farming, fishing, and forestry workers	49	0	1	10	12	9	11	6	–
Agricultural inspectors	10	0	1	3	1	3	2	0	–
Animal breeders	12	0	0	5	0	1	3	2	–
Graders and sorters, agricultural products	53	0	8	13	11	10	10	1	40.0
Miscellaneous agricultural workers	835	57	100	170	171	142	124	71	40.8
Fishing and hunting workers	31	2	0	5	7	7	4	6	–
Forest and conservation workers	21	0	5	5	3	3	3	1	–
Logging workers	51	1	6	11	10	12	7	5	43.8
Construction and extraction occupations	8,057	207	722	1,904	2,108	1,571	1,188	358	40.9
First-line supervisors of construction trades and extraction workers	650	3	20	126	186	159	123	33	44.6
Boilermakers	21	0	0	4	4	9	4	0	–
Brickmasons, blockmasons, and stonemasons	97	3	11	16	25	21	13	8	42.2
Carpenters	1,230	30	113	281	332	241	169	64	40.8
Carpet, floor, and tile installers and finishers	156	4	12	33	45	33	22	7	41.2
Cement masons, concrete finishers, and terrazzo workers	67	2	4	17	21	16	7	0	40.1
Construction laborers	2,165	93	237	479	575	402	287	92	39.8
Construction equipment operators	360	2	27	83	91	70	74	12	43.1
Drywall installers, ceiling tile installers, and tapers	155	3	9	43	44	37	16	3	39.2
Electricians	845	17	77	195	216	164	131	45	41.4
Glaziers	53	1	6	17	13	3	10	2	35.0
Insulation workers	48	2	2	13	13	12	5	2	–
Painters and paperhangers	556	11	34	143	163	100	86	20	41.5
Pipelayers	37	1	2	14	10	8	1	2	–
Plumbers, pipefitters, and steamfitters	587	5	52	166	135	121	83	24	40.6
Plasterers and stucco masons	22	0	5	5	6	3	3	1	–
Reinforcing iron and rebar workers	10	0	1	3	2	2	1	0	–
Roofers	221	6	26	67	59	39	20	3	36.7
Sheet metal workers	125	5	12	37	29	16	22	4	38.8
Structural iron and steel workers	41	0	5	11	14	5	4	1	–
Solar photovoltaic installers	23	0	3	10	6	2	2	0	–
